키워드,카페명,카페 주소,카테고리명,글쓴이ID,포스트 제목,포스트일,조회수,비디오수,그림수,댓글수,글자수,키워드수
고양이,리그오브레전드 한국커뮤니티 - LoLKor,http://cafe.naver.com/lolkor/20378693,벵갈고양이에대해알아보자,관심병 전용사료(gusw****),벵갈 고양이에 대해 알아보자,2019.02.15. 14:20,"1,777",0,9,32,1230,10
고양이,"냥이네-고양이를 사랑하는 모임,길 고양이 무료분양,길냥이 분양",http://cafe.naver.com/clubpet/3679598,[대구],수미맘(cute****),[대구],2019.02.23. 23:55,132,0,4,12,6062,9
고양이,진주아지매,http://cafe.naver.com/jinjululu/1241784,태국왕실고양이~샴!!!,달님들맘74(kang****),태국 왕실 고양이~샴!!!,2019.02.17. 13:40,597,0,4,11,613,4
고양이,"고사모-고양이를 사랑하는 모임,길 고양이 무료분양 길냥이 캣맘",http://cafe.naver.com/catmam/781859,42년인생에서첨으로고양이를키워봅니다.,이편한 아빠딸(1099****),42년 인생에서 첨으로 고양이를 키워봅니다.,2019.02.21. 17:11,318,0,8,18,1540,8
고양이,"관악맘블리♡- 관악,금천,구로,동작맘 대표맘까페",http://cafe.naver.com/news2080/136054,고양이까페,영은가은맘v삼성동(jigu****),고양이까페,2019.02.20. 00:17,251,0,6,13,153,3
고양이,"길고양이 급식소-길냥이 캣맘 모임,고양이 구조,유기묘 무료분양",http://cafe.naver.com/caretaker/111405,부산고양이분양합니다.ㅠㅠ,도도돋(tkqm****),부산 고양이 분양합니다. ㅠㅠ,2019.02.18. 23:16,927,0,23,20,705,12
고양이,"""하이디Cafe""그릇앤틱코펜하겐스타우브마담알렉산더유럽구매대행",http://cafe.naver.com/heidicafe/1219376,(드림)고양이는알고있지,M Flora(nico****),(드림)고양이는 알고 있지 ,2019.02.18. 16:03,135,0,6,17,334,4
고양이,일본맘,http://cafe.naver.com/japanmama/325497,처음으로고양이카페다녀왔어요~,수퍼우먼(sian****),처음으로 고양이카페 다녀왔어요~,2019.02.19. 08:47,245,0,14,12,452,4
고양이,"우마동- 강아지,고양이무료분양,애완동물,고슴도치,열대어분양",http://cafe.naver.com/6655happyclub/45129,스코티쉬폴드고양이무료분양순하다냥,반려동물사랑해(caca****),스코티쉬폴드 고양이무료분양 순하다냥,2019.02.19. 13:35,"1,664",1,8,10,544,11
고양이,빈티지마을,http://cafe.naver.com/vt7/23871,양육중인대형고양이forAltec,이규영(roma****),양육중인 대형 고양이 for Altec,2019.02.19. 17:05,609,0,1,10,656,4
강아지,분따(분당.판교.위례신도시)분당.판교.위례맘들의 신나는세상,http://cafe.naver.com/2008bunsamo/1268064,[도와주세요],판교동쌍둥이맘(kate****),[도와주세요],2019.02.19. 10:10,966,0,2,12,815,9
강아지,서초네이처힐 엄마세상,http://cafe.naver.com/seochomommom/35048,[일상],네이처힐6 일상다반사(leeh****),[일상],2019.02.21. 16:18,424,0,8,19,387,5
강아지,아픈 반려 강아지와 고양이를 위한 힐링카페,http://cafe.naver.com/healingdogcat/303480,강아지급성신부전,코리안인디언스(leef****),강아지 급성신부전,2019.02.21. 19:17,358,0,2,27,248,3
강아지,카페 강봉원 :: 강북구 도봉구 노원구 알콩달콩 사는이야기,http://cafe.naver.com/kdnstorys/324098,[나눔],창동 두더지(hjk5****),[나눔],2019.02.21. 17:38,265,0,4,15,357,6
강아지,일산아지매,http://cafe.naver.com/isajime/3876677,강아지환불계약서,베엔포(jwan****),강아지 환불 계약서,2019.02.22. 19:19,"1,517",0,0,36,992,13
강아지,"강사모-강아지분양,유기견 애견분양,개 애완견훈련 애완동물분양",http://cafe.naver.com/dogpalza/15703945,구토유발로강아지를보냈습니다..,포미포포(soa1****),구토유발로 강아지를 보냈습니다..,2019.02.18. 22:59,944,0,2,36,895,5
강아지,아이러브오송,http://cafe.naver.com/osong1/297985,강아지분양합니다,조은생각76(lcy7****),강아지 분양합니다,2019.02.20. 20:59,"1,037",0,5,8,261,4
강아지,"[제사모] 제주도,제주,여행,맛집,이주,부동산,펜션,게스트하우스",http://cafe.naver.com/idiolle/826248,[반려동물보호중],강딴수(ddan****),[반려동물 보호중],2019.02.11. 23:57,431,0,1,9,772,7
강아지,"우드워커 - 취미 목공, DIY, 원목가구",http://cafe.naver.com/woodworker/397139,밥을양보하는강아지,유령이사오(psh7****),밥을 양보하는 강아지 ,2019.02.23. 10:55,184,0,2,5,673,4
강아지,진해댁들 사랑방,http://cafe.naver.com/jinhaemam/1286247,강아지주인을찾습니다,85지혜조(ppos****),강아지 주인을 찾습니다,2019.02.21. 19:43,570,0,3,9,235,4
개,"태국어 뽀개기 - 태국어배우기 1등 까페, 태국어공부, 태국여행",http://cafe.naver.com/welcomethai/81401,[개~]은욕일까요?,Luna Rossa(cart****),[개~] 은 욕일까요?,2019.02.01. 14:43,421,0,0,2,353,9
개,"[EBS공식] 야호시리즈-한글이야호,속담이야호,수학이야호♬♪",http://cafe.naver.com/hanyatwo/95072,[한야놀이대장4기],만세만세7세4세(ruby****),[한야놀이대장4기],2019.01.30. 19:20,22,0,3,2,79,1
개,리그오브레전드 한국커뮤니티 - LoLKor,http://cafe.naver.com/lolkor/20434320,개키우는방법에대해알아보자,관심병 전용사료(gusw****),개 키우는 방법에 대해 알아보자,2019.02.20. 15:06,"2,917",0,8,126,1628,24
개,그림책 읽어주는 엄마,http://cafe.naver.com/bookmami/109880,[북마미큰잔치],가내수공업(oohc****),[북마미큰잔치],2019.02.19. 17:51,306,0,28,80,922,10
개,"강사모-강아지분양,유기견 애견분양,개 애완견훈련 애완동물분양",http://cafe.naver.com/dogpalza/15714017,신시가지길에개를가뒀어요,sihyeon0207(sihy****),신시가지 길에 개를 가뒀어요,2019.02.24. 01:44,400,0,2,19,354,5
개,야당마을,http://cafe.naver.com/yadangvillatown/22474,개에물릴뻔해서신고했습니다.,정우빌라l승우아빠(best****),개에 물릴뻔해서 신고했습니다.,2019.02.21. 10:05,"1,083",0,5,16,439,4
개,『파주 운정맘』파주 운정신도시 사람들 다 모이세요~~,http://cafe.naver.com/usem/1069444,개가웃는다,때론단순하게(rrri****),개가웃는다,2019.02.21. 22:38,685,0,3,25,198,2
개,마포에서 아이키우기,http://cafe.naver.com/mapomommy/647442,층간소음개님눈치ㅠㅠ,뽀뽀야뽀뽀(shyd****),층간소음 개님 눈치ㅠㅠ,2019.02.19. 21:54,973,0,0,48,450,5
개,해돌(해피돌싱&올드싱글)재혼카페/이혼상담/양육비/상간소송,http://cafe.naver.com/move79/2389642,#개,블리양(stud****),#개,2019.02.20. 09:58,"1,834",0,1,79,80,11
개,"[앤디훅 이종격투기]UFC,헬스,종합격투기,주짓수,MMA,로드FC",http://cafe.naver.com/andyhug/1395153,쓰레기통에버려진신생아를물고병원으로간개,너에게취해(gode****),쓰레기통에 버려진 신생아를 물고 병원으로 간 개,2019.02.19. 10:56,"3,056",0,2,16,477,9
